date start_time end_time
20130321 0500 0600
20130327 0700 1000
20130407 0500 0800
20130407 1200 1400
20130428 1100 1500
20130501 0830 1130
20130517 0600 0900
20130521 0600 1030
20130602 0400 0700
20130604 0100 0400
20130610 0100 0400
20130622 0500 0700
20130623 0630 0930
20130805 0600 1000
20130816 0000 0300
20130822 0100 0400
20130828 0000 0530
20131002 0400 0700
20131008 2200 0000
20131009 0000 0200
20131109 0200 0400
